,date,year,month,day,area,place,title
90,2016/8/5,2016,8,5,Africa, 南非,南非地方選舉，執政黨恐輸掉主要城市 
91,2016/8/4,2016,8,4,Africa, 南非,南非地方選舉，執政黨面臨苦戰 
92,2016/8/2,2016,8,2,Africa, 利比亞,美軍對利比亞境內「伊斯蘭國」發動空襲 
93,2016/8/1,2016,8,1,Africa, 突尼西亞,突尼西亞國會通過總理不信任案 
94,2016/7/27,2016,7,27,Africa, 索馬利亞,索馬利亞首都機場附近傳汽車炸彈攻擊 
95,2016/7/26,2016,7,26,Africa, 利比亞,利比亞政府軍從「伊斯蘭國」奪回蘇爾特安全總部 
96,2016/7/25,2016,7,25,Africa, 南蘇丹,南蘇丹反對派陣營撤換領導人 
97,2016/7/22,2016,7,22,Africa, 甘比亞,甘比亞反對黨領袖遭判刑3年 
98,2016/7/21,2016,7,21,Africa, 利比亞,3名法籍士兵在利比亞喪生 
99,2016/7/20,2016,7,20,Africa, 馬利,馬利軍事基地遭伊斯蘭激進分子攻擊 
100,2016/7/19,2016,7,19,Africa, 奈及利亞,「聯合國兒童基金會」：奈及利亞近25萬名兒童營養不良 
101,2016/7/18,2016,7,18,Africa, 摩洛哥,時隔32年，摩洛哥尋求重新加入「非洲聯盟」 
102,2016/7/15,2016,7,15,Africa, 南蘇丹,烏干達部隊赴南蘇丹撤僑 
103,2016/7/13,2016,7,13,Africa, 南蘇丹,逾7成南蘇丹人急需人道救助 
104,2016/7/12,2016,7,12,Africa, 索馬利亞,索馬利亞軍事基地遭自殺炸彈攻擊，8人身亡 
105,2016/7/11,2016,7,11,Africa, 南蘇丹,南蘇丹首都爆發激戰，至少272人喪生 
106,2016/7/7,2016,7,7,Africa, 莫三比克,印度總理出訪非洲4國 
107,2016/7/6,2016,7,6,Africa, 盧安達,「非洲聯盟」推出「單一護照制」 
108,2016/7/1,2016,7,1,Africa, 索馬利亞,索馬利亞公車遭路邊炸彈攻擊，至少14人喪生 
109,2016/6/30,2016,6,30,Africa, 南蘇丹,「聯合國」：480萬南蘇丹人將嚴重缺糧 
110,2016/6/29,2016,6,29,Africa, 埃及,埃及將英籍黎巴嫩裔政論節目主持人驅逐出境 
111,2016/6/28,2016,6,28,Africa, 南非,南非總統公款私用，財政部追討50萬美元 
112,2016/6/27,2016,6,27,Africa, 奈及利亞,"奈及利亞部隊自「博科聖地」手中救出5,000名人質 "
113,2016/6/24,2016,6,24,Africa, 南蘇丹,維和部隊坐視南蘇丹難民營遇襲，「聯合國」要求撤回 
114,2016/6/23,2016,6,23,Africa, 奈及利亞,無國界醫生：奈及利亞難民營近200人餓死 
115,2016/6/22,2016,6,22,Africa, 剛果,國際刑事法庭：剛果前副總統犯下戰爭罪，判刑18年 
116,2016/6/21,2016,6,21,Africa, 肯亞,肯亞5名員警遇襲身亡，「索馬利亞青年黨」疑為主謀 
117,2016/6/20,2016,6,20,Africa, 埃及,埃航MS804失事班機尋獲黑盒子 
118,2016/6/17,2016,6,17,Africa, 利比亞,利比亞又傳自殺汽車炸彈襲擊，10死7傷 
119,2016/6/16,2016,6,16,Africa, 厄立垂亞,厄立垂亞與衣索匹亞爆發邊界衝突 
120,2016/6/15,2016,6,15,Africa, 迦納,印度總統稱將在迦納提高貿易投資額 
121,2016/6/14,2016,6,14,Africa, 利比亞,利比亞自「伊斯蘭國」奪回關鍵城市 
122,2016/6/13,2016,6,13,Africa, 迦納,印度總統出訪迦納等非洲3國 
123,2016/6/7,2016,6,7,Africa, 南非,英澳警告：南非面臨恐攻威脅 
124,2016/6/3,2016,6,3,Africa, 甘比亞,「國際特赦組織」：甘比亞應停止鎮壓異議人士 
125,2016/6/3,2016,6,3,Africa, 埃及,法國向埃及交付2艘「西北風級」航母 
126,2016/6/2,2016,6,2,Africa, 索馬利亞,索馬利亞首都飯店遭炸彈攻擊，至少15死 
127,2016/5/31,2016,5,31,Africa, 塞內加爾,查德前獨裁者犯下違反人道罪，判終身監禁 
128,2016/5/30,2016,5,30,Africa, 利比亞,地中海船難頻傳，約700名移民罹難 
129,2016/5/27,2016,5,27,Africa, 南非,南非通過土地徵收法案 
130,2016/5/25,2016,5,25,Africa, 突尼西亞,重創觀光業，突尼西亞呼籲英國政府解除旅遊警告 
131,2016/5/24,2016,5,24,Africa, 肯亞,肯亞反對黨抗議行動，傳至少1人喪生 
132,2016/5/23,2016,5,23,Africa, 利比亞,利比亞攔截850名試圖搭船進入歐洲的非法移民 
133,2016/5/20,2016,5,20,Africa, 埃及,「埃及航空」MS804航班失聯前曾兩度急轉彎 
134,2016/5/20,2016,5,20,Africa, 剛果,剛果反對黨總統候選人遭起訴 
135,2016/5/20,2016,5,20,Africa, 奈及利亞,奈及利亞女學生綁架案，再救出1人 
136,2016/5/19,2016,5,19,Africa, 埃及,「埃及航空」MS804航班失聯 
137,2016/5/18,2016,5,18,Africa, 肯亞,肯亞警察毒打抗議民眾，引發國際撻伐聲浪 
138,2016/5/18,2016,5,18,Africa, 奈及利亞,協商破裂，奈及利亞工會18日將發動罷工 
139,2016/5/17,2016,5,17,Africa, 利比亞,對抗IS，列強擬提供武器給利比亞政府 
140,2016/5/17,2016,5,17,Africa, 奈及利亞,奈及利亞調漲油價67%，工會揚言全國大罷工 
141,2016/5/17,2016,5,17,Africa, 坦尚尼亞,打擊貪腐，坦尚尼亞剷除萬名「幽靈公務員」 
142,2016/5/16,2016,5,16,Africa, 奈及利亞,對抗「博科聖地」，法國與奈及利亞同意加強軍事合作 
143,2016/5/16,2016,5,16,Africa, 埃及,不滿政府割島，埃及逾百名抗議民眾遭法院重判 
