,date,area,place,title
99,2016.06.02,Africa, 索馬利亞,索馬利亞首都飯店遭炸彈攻擊，至少15死 
100,2016.05.31,Africa, 塞內加爾,查德前獨裁者犯下違反人道罪，判終身監禁 
101,2016.05.30,Africa, 利比亞,地中海船難頻傳，約700名移民罹難 
102,2016.05.27,Africa, 南非,南非通過土地徵收法案 
103,2016.05.25,Africa, 突尼西亞,重創觀光業，突尼西亞呼籲英國政府解除旅遊警告 
104,2016.05.24,Africa, 肯亞,肯亞反對黨抗議行動，傳至少1人喪生 
105,2016.05.23,Africa, 利比亞,利比亞攔截850名試圖搭船進入歐洲的非法移民 
106,2016.05.20,Africa, 埃及,「埃及航空」MS804航班失聯前曾兩度急轉彎 
107,2016.05.20,Africa, 剛果,剛果反對黨總統候選人遭起訴 
108,2016.05.20,Africa, 奈及利亞,奈及利亞女學生綁架案，再救出1人 
109,2016.05.19,Africa, 埃及,「埃及航空」MS804航班失聯 
110,2016.05.18,Africa, 肯亞,肯亞警察毒打抗議民眾，引發國際撻伐聲浪 
111,2016.05.18,Africa, 奈及利亞,協商破裂，奈及利亞工會18日將發動罷工 
112,2016.05.17,Africa, 利比亞,對抗IS，列強擬提供武器給利比亞政府 
113,2016.05.17,Africa, 奈及利亞,奈及利亞調漲油價67%，工會揚言全國大罷工 
114,2016.05.17,Africa, 坦尚尼亞,打擊貪腐，坦尚尼亞剷除萬名「幽靈公務員」 
115,2016.05.16,Africa, 奈及利亞,對抗「博科聖地」，法國與奈及利亞同意加強軍事合作 
116,2016.05.16,Africa, 埃及,不滿政府割島，埃及逾百名抗議民眾遭法院重判 
117,2016.05.13,Africa, 烏干達,烏干達總統就職典禮，西方各國代表離席抗議 
118,2016.05.12,Africa, 烏干達,烏干達總統就職前夕，警方逮捕反對黨領袖 
119,2016.05.12,Africa, 衣索匹亞,衣索匹亞暴雨引發土石流，奪走數十條人命 
120,2016.05.10,Africa, 肯亞,肯亞警方動用催淚瓦斯驅離抗議民眾 
121,2016.05.10,Africa, 盧安達,盧安達大雨引發土石流，至少53死 
122,2016.05.09,Africa, 肯亞,肯亞擬關閉國內所有難民營，60萬人將流離失所 
123,2016.05.09,Africa, 埃及,埃及8名警察遇襲身亡，「伊斯蘭國」坦承犯案 
124,2016.05.06,Africa, 奈及利亞,美國有意出售輕型攻擊機，助奈及利亞圍剿激進組織「博科聖地」 
125,2016.05.04,Africa, 奈及利亞,前任政府涉武器採購弊案，奈國損失約150億美元 
126,2016.05.04,Africa, 辛巴威,遭逢嚴重乾旱，辛巴威出售野生動物 
127,2016.05.03,Africa, 肯亞,IMF：撒哈拉以南非洲經濟成長將創16年來新低 
128,2016.05.03,Africa, 埃及,2名記者遭逮捕，埃及記者協會發動抗議 
129,2016.05.02,Africa, 埃及,埃及警方阻止勞工紀念國際勞動節 
130,2016.05.02,Africa, 肯亞,肯亞銷毀大量象牙，展現保護非洲象之決心 
131,2016.04.29,Africa, 莫三比克,英國暫緩向莫三比克提供金援 
132,2016.04.28,Africa, 奈及利亞,「歐盟」將與奈及利亞就遣返經濟移民展開協商 
133,2016.04.27,Africa, 南蘇丹,南蘇丹叛軍領袖重返首都擔任副總統 
134,2016.04.25,Africa, 埃及,面對抗議聲浪，埃及總統呼籲人民捍衛國家 
135,2016.04.25,Africa, 蘇丹,蘇丹達佛公投出爐，將維持5個省的行政狀態 
136,2016.04.22,Africa, 南非,南非總統公布軍售弊案調查報告，證明自己清白 
137,2016.04.22,Africa, 查德,查德公布總統大選結果，現任總統德比5度連任 
138,2016.04.21,Africa, 南蘇丹,南蘇丹交戰雙方達成共識，叛軍領袖將返國共組團結政府 
139,2016.04.20,Africa, 尚比亞,尚比亞首都發生排外暴動，逾250人被捕 
140,2016.04.20,Africa, 南蘇丹,南蘇丹和平協議遲未落實，聯合國表達關切 
141,2016.04.19,Africa, 馬利,紅十字國際委員會：3名工作人員在馬利北部失聯 
142,2016.04.19,Africa, 衣索比亞,衣索比亞軍隊試圖搶救遭南蘇丹穆勒族挾持之孩童 
143,2016.04.18,Africa, 利比亞,德法外長共同出訪利比亞，展現對新政府之支持立場 
144,2016.04.18,Africa, 衣索比亞,衣索比亞：南蘇丹武裝分子在邊界地區殺害140人 
145,2016.04.15,Africa, 迦納,迦納政府文件示警：伊斯蘭武裝分子鎖定迦納與鄰國多哥 
146,2016.04.14,Africa, 蘇丹,蘇丹達佛完成公投，叛軍指控政府操縱投票 
147,2016.04.14,Africa, 奈及利亞,激進組織「博科聖地」釋影片，證明遭綁架女學生中仍有存活者 
148,2016.04.13,Africa, 奈及利亞,聯合國：「博科聖地」利用更多孩童發動自殺炸彈攻擊 
149,2016.04.12,Africa, 奈及利亞,土耳其貨輪在奈及利亞外海遭海盜攻擊，6名船員遭挾持 
150,2016.04.11,Africa, 蘇丹,蘇丹達佛地區將就其行政地位舉行公投 
151,2016.04.08,Africa, 肯亞,肯亞總統籲德國擴大對非洲投資 
152,2016.04.07,Africa, 奈及利亞,西非「拉薩熱」疫情已致164死 
153,2016.04.06,Africa, 盧安達,美無人機將在盧安達配送醫療物資 
154,2016.03.31,Africa, 烏干達,非洲成為以色列結盟新對象 
155,2016.03.30,Africa, 賴比瑞亞,「世衛組織」：「伊波拉」緊急狀態解除 
156,2016.03.30,Africa, 埃及,「埃及航空」劫機案和平落幕，無人傷亡 
157,2016.03.29,Africa, 奈及利亞,約2/3非洲國家向中國大陸採購武器 
158,2016.03.29,Africa, 吉布地,吉布地將出現首座中國大陸海外軍事基地 
159,2016.03.28,Africa, 衣索比亞,衣索比亞面臨數十年來最嚴重乾旱 
160,2016.03.25,Africa, 剛果,剛果總統大選，現任總統獲得連任 
161,2016.03.24,Africa, 塞內加爾,塞內加爾修憲公投，逾6成民眾支持縮短總統任期 
162,2016.03.23,Africa, 尼日,尼日總統大選結果出爐，現任總統獲壓倒性勝利 
163,2016.03.22,Africa, 貝南,棉花大王塔隆當選貝南總統 
164,2016.03.21,Africa, 塞內加爾,塞內加爾舉行修憲公投，縮短總統任期 
165,2016.03.21,Africa, 尼日,尼日總統大選，現任總統可望連任 
166,2016.03.18,Africa, 喀麥隆,「博科聖地」武裝分子遭喀麥隆軍事法院判處死刑 
167,2016.03.17,Africa, 奈及利亞,奈及利亞參議院否決性別平等法草案，引發大眾譴責 
168,2016.03.17,Africa, 摩洛哥,潘基文發言惹議，摩洛哥退出西薩哈拉維和行動 
169,2016.03.16,Africa, 布吉納法索,因應恐攻，法國擬在布吉納法索部署武警部隊 
170,2016.03.16,Africa, 辛巴威,辛巴威糧荒，兒童嚴重營養不良 
171,2016.03.15,Africa, 蒲隆地,歐盟暫停對蒲隆地之直接援助 
172,2016.03.14,Africa, 象牙海岸,象牙海岸度假城鎮恐攻釀16死，蓋達分支坦承犯案 
173,2016.03.10,Africa, 索馬利亞,聯合國糧農組織：非洲27國面臨飢荒 
174,2016.03.08,Africa, 突尼西亞,突尼西亞邊城遭IS聖戰士襲擊 
175,2016.03.08,Africa, 索馬利亞,美軍對索馬利亞激進組織「青年黨」發動空襲 
176,2016.03.07,Africa, 貝南,西非貝南舉行總統大選 
177,2016.03.03,Africa, 埃及,與以色列大使共進晚餐惹議，埃及議員遭國會除名 
178,2016.03.03,Africa, 坦尚尼亞,南蘇丹加入「東非共同體」成為第六個成員國 
179,2016.03.01,Africa, 索馬利亞,索馬利亞連環爆炸案，激進組織「青年黨」坦承犯案 
180,2016.03.01,Africa, 辛巴威,辛巴威總統豪擲80萬美元辦生日趴，引發外界抨擊 
181,2016.02.26,Africa, 蒲隆地,人權組織：蒲隆地維安部隊攻擊平民 
182,2016.02.24,Africa, 蒲隆地,"潘基文：蒲隆地總統承諾釋放2,000人 "
183,2016.02.23,Africa, 衣索比亞,「人權觀察」：衣索比亞政府鎮壓示威民眾 
184,2016.02.22,Africa, 中非共和國,中非共和國大選結果出爐，新總統將面臨嚴峻挑戰 
185,2016.02.22,Africa, 尼日,尼日舉行總統與國會選舉 
186,2016.02.19,Africa, 烏干達,烏干達大選狀況頻傳，在野候選人再度被捕 
187,2016.02.19,Africa, 奈及利亞,奈軍自「博科聖地」救出195名人質 
188,2016.02.18,Africa, 烏干達,烏干達大選，現任總統尋求第5任期 
189,2016.02.17,Africa, 塞內加爾,選舉承諾跳票，塞內加爾總統將做滿7年任期 
190,2016.02.16,Africa, 烏干達,烏干達總統大選前夕，總統候選人一度被捕 
191,2016.02.16,Africa, 安哥拉,安哥拉爆發「黃熱病」疫情 
192,2016.02.15,Africa, 中非共和國,中非共和國進行第二輪總統大選 
193,2016.02.15,Africa, 奈及利亞,奈國2村落遭「博科聖地」攻擊，30人喪生 
194,2016.02.03,Africa, 索馬利亞,索馬利亞客機空中爆炸，緊急迫降成功 
195,2016.02.02,Africa, 史瓦濟蘭,非洲乾旱造成史瓦濟蘭農業損失慘重 
196,2016.02.01,Africa, 衣索比亞,衣索比亞乾旱加劇，引發饑荒危機 
197,2016.02.01,Africa, 奈及利亞,奈及利亞遭「博科聖地」攻擊，至少65死 
198,2016.01.30,Africa, 中非共和國,歐盟駐中非部隊涉嫌性侵該國兒童 
199,2016.01.29,Africa, 南非,對抗通膨壓力，南非央行再度升息半碼 
200,2016.01.28,Africa, 奈及利亞,奈及利亞自殺攻擊，造成至少13人死亡 
201,2016.01.26,Africa, 喀麥隆,喀麥隆北部發生自殺攻擊，至少32死 
202,2016.01.25,Africa, 南非,南非資深政治人物戈德伯格呼籲執政黨撤換領導階層 
203,2016.01.22,Africa, 索馬利亞,青年黨攻擊索馬利亞餐廳，釀20人死亡 
204,2016.01.22,Africa, 埃及,開羅近郊發生爆炸，造成至少6人死亡 
205,2016.01.20,Africa, 布吉納法索,布吉納法索恐攻，仍有3名槍手在逃 
206,2016.01.19,Africa, 塞內加爾,塞內加爾總統尋求縮減總統任期 
207,2016.01.18,Africa, 布吉納法索,布吉納法索首都遭恐攻，造成28人罹難 
208,2016.01.15,Africa, 獅子山共和國,獅子山共和國再度出現伊波拉死亡病例 
209,2016.01.14,Africa, 賴比瑞亞,世衛組織將宣布賴比瑞亞伊波拉疫情結束 
210,2016.01.11,Africa, 南非,南非熱浪持續一週，造成11人死亡 
211,2016.01.11,Africa, 埃及,暌違近4年，埃及國會首度開議 
212,2016.01.11,Africa, 埃及,「阿拉伯聯盟」力挺利雅德，譴責伊朗未保護沙國使館 
213,2016.01.06,Africa, 中非共和國,「聯合國」駐中非共和國維和部隊再曝性侵醜聞 
214,2016.01.05,Africa, 利比亞,利比亞東部石油港遭「伊斯蘭國」武裝分子攻擊 
215,2016.01.04,Africa, 盧安達,盧安達總統宣布角逐第三任期 
216,2015.12.30,Africa, 幾內亞,WHO：幾內亞結束「伊波拉」疫情 
217,2015.12.29,Africa, 烏干達,蒲隆地瀕臨內戰邊緣，敵對雙方在烏干達舉行和談 
218,2015.12.28,Africa, 貝南,直升機迫降墜毀，貝南總理津蘇安然無恙 
219,2015.12.28,Africa, 奈及利亞,博科聖地發動恐攻，奈國東北至少15死 
220,2015.12.25,Africa, 奈及利亞,奈及利亞發生天然氣廠爆炸意外，100多人死亡 
221,2015.12.23,Africa, 史瓦濟蘭,臺灣協助史瓦濟蘭推動合作計畫案 
