"","title","date","place"
"110","「歐洲議會」議長赴土耳其商討土歐難民協議 ","2016.09.02"," 土耳其"
"111","馬來西亞出現首起茲卡確診病例 ","2016.09.02"," 馬來西亞"
"112","日相安倍赴俄與普亭展開會談 ","2016.09.02"," 日本"
"113","緬甸政府與少數民族展開和平談判 ","2016.09.01"," 緬甸"
"114","日本防衛省提出逾5兆日圓之國防預算 ","2016.09.01"," 日本"
"115","中國大陸駐吉爾吉斯大使館發生汽車爆炸案 ","2016.08.31"," 吉爾吉斯"
"116","「伊斯蘭國」發言人在敘利亞遭擊斃 ","2016.08.31"," 敘利亞"
"117","菲軍方與「阿布沙伊夫」交火，12名軍人死亡 ","2016.08.30"," 菲律賓"
"118","「伊斯蘭國」在葉門發動炸彈攻擊，釀至少50死 ","2016.08.30"," 葉門"
"119","新加坡茲卡病毒本土感染病例增至41起 ","2016.08.29"," 新加坡"
"120","土耳其對敘利亞進行空襲，傳造成數十名平民死亡 ","2016.08.29"," 敘利亞"
"121","「聯合國」：敘利亞政府曾發動化武攻擊 ","2016.08.26"," 敘利亞"
"122","美土聯手助敘叛軍攻下「伊斯蘭國」根據地 ","2016.08.25"," 敘利亞"
"123","緬甸規模6.8強震釀3死65佛塔毀損 ","2016.08.25"," 緬甸"
"124","泰國南部連續2起爆炸案，釀1死逾30傷 ","2016.08.24"," 泰國"
"125","日韓「中」外長抗議北韓試射飛彈 ","2016.08.24"," 日本"
"126","日「中」韓本週三將在東京召開外長會議 ","2016.08.23"," 日本"
"127","土耳其總理：婚禮爆炸案非兒童炸彈客所為 ","2016.08.23"," 土耳其"
"128","土耳其兒童炸彈客造成至少51死69傷 ","2016.08.22"," 土耳其"
"129","美韓「乙支自由衛士」聯合軍演即日起展開 ","2016.08.22"," 南韓"
"130","南韓在38度線附近舉行歷來最大砲兵演訓 ","2016.08.19"," 南韓"
"131","菲律賓自日本接收首艘多功能巡邏艇 ","2016.08.19"," 菲律賓"
"132","印尼國慶日炸沉逾60艘違法外國漁船 ","2016.08.18"," 印尼"
"133","土耳其「庫德工人黨」汽車炸彈釀3死數十傷 ","2016.08.18"," 土耳其"
"134","菲特種部隊攻下「阿布沙伊夫」3處營地 ","2016.08.17"," 菲律賓"
"135","南韓潛艦維修時爆炸，釀3死1傷 ","2016.08.17"," 韓國"
"136","二戰結束71週年，安倍連續4年未赴「靖國神社」參拜 ","2016.08.16"," 日本"
"137","葉門「無國界醫生」醫院遭阿拉伯聯軍空襲 ","2016.08.16"," 葉門"
"138","日本研發「地對艦飛彈」抗大陸挑釁 ","2016.08.15"," 日本"
"139","敘利亞反抗軍巴士遭自殺炸彈攻擊，至少15死25傷 ","2016.08.15"," 敘利亞"
"140","縮短通關時間，日擬派員赴台韓實施境外入境檢查 ","2016.08.15"," 日本"
"141","泰國華欣接連發生2起爆炸 ","2016.08.12"," 泰國"
"142","菲律賓監獄發生爆炸造成10死 ","2016.08.12"," 菲律賓"
"143","土耳其「庫德工人黨」對警車發動攻擊 ","2016.08.11"," 土耳其"
"144","菲國總統揚言若緝毒受阻將實施戒嚴 ","2016.08.11"," 菲律賓"
"145","阿勒坡留守醫師聯名呼籲歐巴馬設禁航區 ","2016.08.11"," 敘利亞"
"146","日本外相：與中國大陸關係「明顯惡化」 ","2016.08.10"," 日本"
"147","印度人權鬥士結束史上最長16年絕食 ","2016.08.10"," 印度"
"148","巴基斯坦醫院遭自殺炸彈攻擊，至少70死 ","2016.08.09"," 巴基斯坦"
"149","日本天皇暗示有意生前退位 ","2016.08.09"," 日本"
"150","土耳其總統支持恢復死刑 ","2016.08.08"," 土耳其"
"151","菲律賓總統公布百餘名涉毒政客名單 ","2016.08.08"," 菲律賓"
"152","涉嫌洩露核武機密給美國，伊朗核子專家被處以絞刑 ","2016.08.08"," 伊朗"
"153","阿富汗旅遊小巴遇襲7傷，塔利班坦承犯案 ","2016.08.05"," 阿富汗"
"154","人權團體批泰國軍方打壓反修憲人士 ","2016.08.05"," 泰國"
"155","人權團體批澳洲默許虐待難民 ","2016.08.04"," 澳洲"
"156","阿聯酋班機迫降機場後起火，1消防員喪生 ","2016.08.04"," 阿拉伯聯合大公國"
"157","北韓試射導彈，落入日本外海 ","2016.08.03"," 北韓"
"158","敘利亞伊德利布省遭有毒氯氣攻擊 ","2016.08.03"," 敘利亞"
"159","沙國經濟不景氣，逾萬名失業印度勞工受困當地 ","2016.08.02"," 印度"
"160","俄羅斯軍機在敘利亞遭擊落，機上5人喪生 ","2016.08.02"," 敘利亞"
"161","阿富汗美軍基地旁旅館大爆炸，塔利班坦承犯案 ","2016.08.01"," 阿富汗"
"162","東京選出首位女知事 ","2016.08.01"," 日本"
"163","日本在韓成立慰安婦基金會，抗議民眾與警察爆發衝突 ","2016.07.29"," 南韓"
"164","日本首相安倍：將推28兆日圓經濟刺激方案 ","2016.07.28"," 日本"
"165","無視國際抗議，印尼將處決14名毒犯 ","2016.07.28"," 印尼"
"166","中國大陸：部署「薩德」有損「中」韓互信 ","2016.07.27"," 寮國"
"167","日本安養院前員工持刀砍人，造成19死26傷 ","2016.07.26"," 日本"
"168","柬埔寨迫菲讓步，「東協」外長公報未提南海仲裁 ","2016.07.26"," 寮國"
"169","阿富汗和平示威遭炸彈攻擊，至少80死230傷 ","2016.07.25"," 阿富汗"
"170","取消美軍基地遷移許可，日本政府再告沖繩縣府 ","2016.07.22"," 日本"
"171","美國將沒收大馬主權基金資產，大馬政府：全面配合調查 ","2016.07.21"," "
"172","土耳其總統宣布進入緊急狀態三個月 ","2016.07.21"," 土耳其"
"173","土耳其政府擴大整肅，牽連4萬5,000多人 ","2016.07.20"," 土耳其"
"174","北韓：19日飛彈試射為模擬對南韓的核彈攻擊 ","2016.07.20"," 北韓"
"175","土耳其總統大規模整肅異己，美歐提出警告 ","2016.07.19"," 土耳其"
"176","北韓朝日本海發射三枚彈道飛彈 ","2016.07.19"," 北韓"
"177","土耳其軍事政變失敗，至少265死 ","2016.07.18"," 土耳其"
"178","日相赴蒙古出席亞歐會議，與德國總理展開會談 ","2016.07.15"," 蒙古"
"179","敘利亞總統稱俄羅斯不曾要求他下台 ","2016.07.15"," 敘利亞"
"180","日本宮內廳次長否認天皇生前退位報導 ","2016.07.14"," 日本"
"181","土耳其政府盼與敘利亞建立良好關係 ","2016.07.14"," 土耳其"
"182","日本外務省成立「網路安全保障政策室」 ","2016.07.14"," 日本"
"183","伊拉克首都又傳汽車炸彈攻擊，釀至少12死 ","2016.07.13"," 伊拉克"
"184","敘利亞反叛軍在阿勒坡市發動攻擊 ","2016.07.12"," 敘利亞"
"185","喀什米爾爆發示威暴動，釀至少30死 ","2016.07.12"," 印度"
"186","日參院選舉安倍大勝，拿到修憲門票 ","2016.07.11"," 日本"
"187","美韓同意在南韓部署「薩德」飛彈防禦系統 ","2016.07.11"," 南韓"
"188","敘利亞政府軍宣布停火72小時 ","2016.07.07"," 敘利亞"
"189","葉門亞丁軍事基地遭汽車炸彈攻擊 ","2016.07.07"," 葉門"
"190","澳洲總理稱將為選舉結果負全責 ","2016.07.06"," 澳洲"
"191","伊拉克恐攻死亡人數攀升至250人 ","2016.07.06"," 伊拉克"
"192","孟加拉恐攻嫌犯多來自富裕家庭 ","2016.07.05"," 孟加拉"
"193","沙烏地阿拉伯聖城麥地那遭自殺攻擊 ","2016.07.05"," 沙烏地阿拉伯"
"194","美國駐吉達領事館附近發生自殺攻擊，造成2人受傷 ","2016.07.04"," 沙烏地阿拉伯"
"195","澳洲國會大選開票，兩大陣營至今無一過半 ","2016.07.04"," 澳洲"
"196","伊拉克首都遭炸彈攻擊，釀至少125死 ","2016.07.04"," 伊拉克"
"197","土耳其機場恐攻罹難者增至43人 ","2016.07.01"," 土耳其"
"198","美伊空襲殲滅數百「伊斯蘭國」聖戰士及車輛 ","2016.07.01"," 伊拉克"
"199","蒙古主要反對黨拿下國會多數席次 ","2016.06.30"," 蒙古"
"200","土耳其機場恐攻造成至少41死239傷 ","2016.06.30"," 土耳其"
"201","土耳其機場驚傳恐攻，釀36死147傷 ","2016.06.29"," 土耳其"
"202","印尼擬擴建納土那群島軍事設施 ","2016.06.29"," 印尼"
"203","以色列及土耳其宣布達成和解協議 ","2016.06.28"," 以色列"
"204","緬甸宣示反毒決心，「國際禁毒日」焚毀大批毒品 ","2016.06.28"," 緬甸"
"205","再挫「伊斯蘭國」，伊拉克全面收復法魯賈 ","2016.06.27"," 伊拉克"
"206","英國決定「脫歐」，日相急召內閣商討對策 ","2016.06.24"," 日本"
"207","全力捍衛主權，印尼總統在軍艦上召開內閣會議 ","2016.06.24"," 印尼"
"208","印度雨季雷擊2天至少釀93死 ","2016.06.23"," 印度"
"209","「安理會」主席籲「聯合國」堅定回應北韓飛彈試射 ","2016.06.23"," 北韓"
"210","「聯合國」：700多名醫療人員死於敘利亞內戰 ","2016.06.22"," 敘利亞"
"211","菲國總統當選人：不會為南海爭議與中國大陸開戰 ","2016.06.22"," 菲律賓"
"212","南海案宣判在即，柬埔寨總理稱不支持仲裁結果 ","2016.06.21"," 柬埔寨"
"213","扣船護主權，印尼總統要求持續嚴格執法 ","2016.06.21"," 印尼"
"214","「沖繩縣民大會」決議要求美陸戰隊撤離 ","2016.06.20"," 日本"
"215","印尼土石流已造成至少35人喪生 ","2016.06.20"," 印尼"
"216","聯合國「敘利亞調查委員會」：「伊斯蘭國」屠殺「亞茲迪人」 ","2016.06.17"," 伊拉克"
"217","巴勒斯坦指控以色列切斷供水，導致巴人齋戒月無水可用 ","2016.06.17"," 巴勒斯坦"
"218","人權團體指「聯合國」援助不公 ，獨惠敘利亞政府軍掌控區 ","2016.06.16"," 敘利亞"
"219","巴基斯坦撥款200萬美元助跨性別族群 ","2016.06.16"," 巴基斯坦"
"220","達賴喇嘛籲翁山蘇姬解決洛興雅難民問題 ","2016.06.15"," 緬甸"
"221","疑挪用公款，東京都知事請辭下台 ","2016.06.15"," 日本"
"222","全球最危險國家，敘利亞連兩年登榜首 ","2016.06.14"," 敘利亞"
"223","南韓外長訪古巴及俄羅斯，拉攏北韓盟友 ","2016.06.14"," 南韓"
"224","少數族群頻遭攻擊，孟加拉警方逮5,000人 ","2016.06.13"," 孟加拉"
"225","巴布亞紐幾內亞警方朝抗議學生開槍，釀至少4死 ","2016.06.08"," 巴布亞紐幾內亞"
"226","伊斯坦堡發生汽車炸彈攻擊，11人喪生 ","2016.06.07"," 土耳其"
"227","香格里拉對話：法國籲「歐盟」在南海巡航 ","2016.06.07"," 新加坡"
"228","暴雨肆虐澳洲新南威爾斯，造成3人死亡 ","2016.06.06"," 澳洲"
"229","日本男童失蹤6天後平安尋獲 ","2016.06.04"," 日本"
"230","香格里拉對話：泰、印支持依國際法解決南海爭端 ","2016.06.04"," 新加坡"
"231","土耳其總統：德國種族滅絕決議將重創兩國關係 ","2016.06.03"," 土耳其"
"232","菲總統當選人：不會放棄南海「斯卡伯勒淺灘」權利 ","2016.06.03"," 菲律賓"
"233","日相安倍宣布消費稅延後調漲 ","2016.06.02"," 日本"
"234","朴槿惠訪非外交勝利，烏干達將中斷與北韓的軍事合作 ","2016.05.31"," 南韓"
"235","印尼在納土那群島海域扣押中國籍漁船 ","2016.05.30"," 印尼"
"236","歐巴馬「廣島行」獲日本民眾高度肯定 ","2016.05.30"," 日本"
"237","菲律賓總統指控中國違反南海協議 ","2016.05.27"," 菲律賓"
"238","印尼宣布性侵兒童罪犯最高可處死刑和化學去勢 ","2016.05.26"," 印尼"
"239","歐洲理事會主席赴日參加G7峰會，呼籲國際一同面對難民問題 ","2016.05.26"," 日本"
"240","G7峰會宣言草案將觸及南海問題 ","2016.05.25"," 日本"
"241","北韓海外餐廳員工再傳集體脫逃 ","2016.05.25"," 北韓"
"242","土耳其：不給免簽，國會將阻擋歐土移民協議 ","2016.05.25"," 土耳其"
"243","印度與伊朗合作開發戰略港口 ","2016.05.24"," 伊朗"
"244","歐巴馬宣布全面對越南解除武器禁運 ","2016.05.24"," 越南"
"245","歐巴馬抵達越南訪問，象徵兩國關係回溫 ","2016.05.23"," 越南"
"246","駐日美軍涉嫌殺害沖繩女子，美國防部長道歉 ","2016.05.23"," 日本"
"247","斯里蘭卡土石流淹埋3村，造成58人死亡 ","2016.05.20"," 斯里蘭卡"
"248","伊拉克從「伊斯蘭國」手中收復魯特巴鎮 ","2016.05.19"," 伊拉克"
"249","印度執政黨在東北省份選舉中取勝，擴大政治版圖 ","2016.05.19"," 印度"
