,title,date,place
31,移民船在埃及外海翻覆，釀至少42死 ,2016.09.22, 埃及
32,衣索比亞將打造工業園區，以提供難民工作機會 ,2016.09.22, 衣索比亞
33,索馬利亞逾500萬人面臨缺糧問題 ,2016.09.21, 索馬利亞
34,剛果民主共和國爆發警民衝突，釀至少17死 ,2016.09.20, 剛果民主共和國
35,中非叛軍組織被控屠殺26人 ,2016.09.19, 中非共和國
36,「聯合國難民署」：來自南蘇丹的難民破百萬人 ,2016.09.19, 南蘇丹
37,南非禁止美國反同牧師入境 ,2016.09.14, 南非
38,坦尚尼亞強震釀至少16死 ,2016.09.13, 坦尚尼亞
39,3名女子試圖對肯亞警察局發動攻擊 ,2016.09.12, 肯亞
40,非洲貝南垃圾場傳爆炸，至少2死61傷 ,2016.09.10, 貝南
41,質疑總統選舉不公，加彭反對派提告憲法法庭 ,2016.09.09, 加彭
42,杜絕盜獵行徑，辛巴威先行為犀牛割角 ,2016.09.08, 辛巴威
43,抗議總統選舉不公，加彭司法部長宣布辭職 ,2016.09.07, 加彭
44,抗議總統選舉不公，加彭首都陷入混亂 ,2016.09.02, 加彭
45,加彭現任總統以些微差距連任成功 ,2016.09.01, 加彭
46,索馬利亞首都遭汽車炸彈攻擊，共5死10傷 ,2016.08.31, 索馬利亞
47,「歐盟」觀察團：加彭總統選舉「缺乏透明度」 ,2016.08.30, 加彭
48,加彭反對派總統候選人宣布勝選 ,2016.08.29, 加彭
49,奈及利亞近50萬名孩童嚴重營養不良 ,2016.08.26, 奈及利亞
50,辛巴威民眾抗議總統獨裁，演變成警民暴力衝突 ,2016.08.25, 辛巴威
51,「世衛」將召開緊急會議，商討黃熱病疫情 ,2016.08.24, 剛果民主共和國
52,利比亞國會對「聯合國」支持的聯合政府投下不信任票 ,2016.08.24, 利比亞
53,破壞文化遺址廷巴克圖，馬利叛軍向國際刑事法院認罪 ,2016.08.22, 馬利
54,遭政府軍追殺，南蘇丹副總統流亡剛果 ,2016.08.19, 剛果民主共和國
55,南蘇丹政府軍性侵外籍志工，聯合國維和部隊拒絕伸出援手 ,2016.08.18, 南蘇丹
56,尚比亞傳總統選舉不公，警方逮捕133名抗議民眾 ,2016.08.17, 尚比亞
57,尚比亞總統連任成功，反對黨痛批作票 ,2016.08.16, 尚比亞
58,剛果小鎮遭屠殺，舉國哀悼3日 ,2016.08.15, 剛果民主共和國
59,尚比亞總統暨國會大選順利落幕 ,2016.08.12, 尚比亞
60,利比亞宣稱已將「伊斯蘭國」逐出蘇爾特 ,2016.08.11, 利比亞
61,國際特赦組織：衣索比亞近百名示威民眾遭警方槍殺 ,2016.08.09, 衣索匹亞
